tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5
Gemmatimonadales,Gemmatimonadetes,rank_3,Gemmatimonadales,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,,
Gemmatimonadaceae,Gemmatimonadales,rank_4,Gemmatimonadaceae,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
Gemmatimonas,Gemmatimonadaceae,rank_5,Gemmatimonas,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Thauera,Zoogloeaceae,rank_5,Thauera,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Cytophagia,Bacteroidota,rank_2,Cytophagia,Root,Bacteria,Bacteroidota,Cytophagia,,,
Cytophagales,Cytophagia,rank_3,Cytophagales,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,,
Spirosomataceae,Cytophagales,rank_4,Spirosomataceae,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,
Dyadobacter,Spirosomataceae,rank_5,Dyadobacter,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter
Rhodothermota,Bacteria,rank_1,Rhodothermota,Root,Bacteria,Rhodothermota,,,,
Rhodothermia,Rhodothermota,rank_2,Rhodothermia,Root,Bacteria,Rhodothermota,Rhodothermia,,,
Rhodothermales,Rhodothermia,rank_3,Rhodothermales,Root,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,,
Rhodothermaceae,Rhodothermales,rank_4,Rhodothermaceae,Root,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,
Rhodothermus,Rhodothermaceae,rank_5,Rhodothermus,Root,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus
Sphaerobacterales,Thermomicrobia,rank_3,Sphaerobacterales,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,,
Sphaerobacteraceae,Sphaerobacterales,rank_4,Sphaerobacteraceae,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,
Sphaerobacter,Sphaerobacteraceae,rank_5,Sphaerobacter,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter
Aquificaceae,Aquificales,rank_4,Aquificaceae,Root,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,
Hydrogenobacter,Aquificaceae,rank_5,Hydrogenobacter,Root,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter
Archaeoglobi,Euryarchaeota,rank_2,Archaeoglobi,Root,Bacteria,Euryarchaeota,Archaeoglobi,,,
Archaeoglobales,Archaeoglobi,rank_3,Archaeoglobales,Root,Bacteria,Euryarchaeota,Archaeoglobi,Archaeoglobales,,
Archaeoglobaceae,Archaeoglobales,rank_4,Archaeoglobaceae,Root,Bacteria,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,
Ferroglobus,Archaeoglobaceae,rank_5,Ferroglobus,Root,Bacteria,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus
